company,domain,lead_name,role,source_url,segment,current_stack,suspected_pain,privacy_sensitivity_score,estimated_llm_spend,score,relevant_quote,context_link,approved_message,status,sent_at,reply,opt_out,next_action,api_key_created,first_request_sent,monthly_tokens,monthly_spend
CodexBar (steipete/CodexBar),,@steipete (maintainer),OSS maintainer,https://github.com/steipete/CodexBar/blob/main/docs/openrouter.md,developer tool / usage dashboard,"OpenRouter provider integration; uses OPENROUTER_API_KEY + optional OpenRouter base URL override","Some CodexBar users may want an OpenRouter-compatible routing option for higher-sensitivity prompts where verifiable non-logging matters",6,,60,"Customers can verify that the code that they're reaching out to and talking to is in fact what they're seeing in the open source repo and that stated commit hash.",https://trustedrouter.com/security,"Noticed CodexBar documents an OpenRouter provider (OPENROUTER_API_KEY + base URL).\n\n\"Customers can verify that the code that they're reaching out to and talking to is in fact what they're seeing in the open source repo and that stated commit hash.\"\n\nContext: https://trustedrouter.com/security",proposed,,,,false,"Propose: GitHub issue/discussion suggesting TrustedRouter as an OpenAI-compatible base_url option for users who want verifiable non-logging",,,,,
rnd-pro/agent-aggregator,,@rnd-pro (maintainer),OSS maintainer,https://github.com/rnd-pro/agent-aggregator,agent / MCP devtools,"Config supports OpenRouter provider with OPENROUTER_API_KEY and baseUrl=https://openrouter.ai/api/v1","Agent workloads often include sensitive code + prompts; may want an OpenRouter-compatible hosted route that explicitly does not store prompt/output",9,,85,"We never log your prompt or the output.",https://trustedrouter.com/security,"Saw agent-aggregator supports OpenRouter as a provider for agent execution.\n\n\"We never log your prompt or the output.\"\n\nContext: https://trustedrouter.com/security",proposed,,,,false,"Propose: GitHub issue offering TrustedRouter as an OpenAI-compatible base_url for higher-sensitivity agent prompts",,,,,
OpenClaw,,OpenClaw maintainers,OSS maintainers,https://docs.openclaw.ai/providers/openrouter,agent / coding devtools,"OpenClaw docs recommend OpenRouter; OpenAI-compatible base_url swap pattern","Users running coding agents may want an OpenAI-compatible route with explicit non-logging + verifiable trust boundary for sensitive code prompts",10,,85,"We never log your prompt or the output.",https://trustedrouter.com/security,"Noticed OpenClaw supports OpenRouter as an OpenAI-compatible base_url for agent workflows.\n\n\"We never log your prompt or the output.\"\n\nContext: https://trustedrouter.com/security",proposed,,,,false,"Propose: open a docs issue/discussion suggesting TrustedRouter as a drop-in OpenAI base_url option for users who want verifiable non-logging",,,,,
tensakulabs/openclaw-mem0,,tensakulabs (maintainer),OSS maintainer,https://github.com/tensakulabs/openclaw-mem0,agent memory plugin / devtools,"Plugin config examples show OPENROUTER_API_KEY + baseURL=https://openrouter.ai/api/v1 for embedder + LLM","Long-term memory + embeddings can include highly sensitive user/company data; may need a non-logging route for prompts and embeddings traffic",10,,85,"We never log your prompt or the output.",https://trustedrouter.com/security,"Saw openclaw-mem0 shows configs that route embedder + LLM calls through OpenRouter.\n\n\"We never log your prompt or the output.\"\n\nContext: https://trustedrouter.com/security",proposed,,,,false,"Propose: GitHub issue offering TrustedRouter as an OpenAI-compatible base_url for sensitive memory/embedding workloads",,,,,
anomalyco/opencode,,opencode maintainers,OSS maintainers,https://github.com/anomalyco/opencode/issues/749,coding agent / devtools,"Issue shows OpenRouter provider config: baseURL=https://openrouter.ai/api/v1 + OPENROUTER_API_KEY","Coding-agent prompts can include proprietary code; teams may want a one-line base_url swap to a verifiably non-logging route",10,,85,"It is as simple as changing one URL, so one line of code.",https://trustedrouter.com/docs/migrate-from-openrouter,"Saw opencode users configuring OpenRouter baseURL + OPENROUTER_API_KEY for coding agent models.\n\n\"It is as simple as changing one URL, so one line of code.\"\n\nContext: https://trustedrouter.com/docs/migrate-from-openrouter",proposed,,,,false,"Propose: reply in the issue thread offering TrustedRouter as a drop-in OpenAI-compatible base_url for higher-sensitivity prompts (no prompt/output storage)",,,,,
renatogalera/ai-commit,,@renatogalera (maintainer),OSS maintainer,https://github.com/renatogalera/ai-commit,git tooling / code review devtools,"Config supports OpenRouter provider: baseURL=https://openrouter.ai/api/v1 + openrouter/auto","Commit messages + diffs often include sensitive code; users may want an OpenAI-compatible route that explicitly does not store prompt/output",9,,85,"We never log your prompt or the output.",https://trustedrouter.com/security,"Noticed ai-commit supports OpenRouter as a provider for commit message generation and code review.\n\n\"We never log your prompt or the output.\"\n\nContext: https://trustedrouter.com/security",proposed,,,,false,"Propose: GitHub issue suggesting TrustedRouter as an OpenAI-compatible base_url option for sensitive repos",,,,,
ARMES,armes.ai,,unknown (public site),https://armes.ai/,consumer app / private chat,"Site states it is powered by OpenRouter + Zero Data Retention; multi-model chat app","Consumer chat apps collect highly sensitive user prompts; may want verifiable non-logging and published trust boundary details",10,,65,"We never log your prompt or the output.",https://trustedrouter.com/security,"Saw ARMES positions itself as a private multi-model chat app powered by OpenRouter.\n\n\"We never log your prompt or the output.\"\n\nContext: https://trustedrouter.com/security",proposed,,,,false,"Propose: LinkedIn DM or email outreach to founders offering a quick base_url swap eval of TrustedRouter for verifiable non-logging",,,,,
bytedance/trae-agent,,Bytedance Trae Agent maintainers,OSS maintainers,https://github.com/bytedance/trae-agent,agent / software engineering,"Docs show OpenRouter support + OpenAI provider base_url=https://openrouter.ai/api/v1 (proxy)","Software-engineering agents handle sensitive code + credentials; teams may want a verifiably non-logging OpenAI-compatible routing option",10,,85,"Customers can verify that the code that they're reaching out to and talking to is in fact what they're seeing in the open source repo and that stated commit hash.",https://trustedrouter.com/security,"Noticed trae-agent supports OpenRouter (and other providers) for software engineering agents.\n\n\"Customers can verify that the code that they're reaching out to and talking to is in fact what they're seeing in the open source repo and that stated commit hash.\"\n\nContext: https://trustedrouter.com/security",proposed,,,,false,"Propose: GitHub issue/discussion suggesting TrustedRouter as an OpenAI-compatible base_url option for sensitive coding-agent prompts",,,,,
elizaos-plugins/plugin-openrouter,,elizaos-plugins maintainers,OSS maintainers,https://github.com/elizaos-plugins/plugin-openrouter,agent plugin / multi-model,"Plugin config uses OPENROUTER_API_KEY and supports browser proxying to avoid exposing keys","Agent plugins route user prompts; browser proxying suggests key-leak risk; may want verifiable non-logging + published trust boundary for sensitive traffic",8,,80,"We never log your prompt or the output.",https://trustedrouter.com/security,"Saw plugin-openrouter documents routing agent model calls through OpenRouter (OPENROUTER_API_KEY + base URL).\n\n\"We never log your prompt or the output.\"\n\nContext: https://trustedrouter.com/security",proposed,,,,false,"Propose: GitHub issue offering TrustedRouter as an OpenAI-compatible base_url for higher-sensitivity agent traffic",,,,,
xrip/ollama-api-proxy,,@xrip (maintainer),OSS maintainer,https://github.com/xrip/ollama-api-proxy,developer tool / gateway proxy,"Proxy translates Ollama API to OpenAI/Gemini/OpenRouter APIs; supports OpenRouter models","JetBrains AI Assistant + proxying may involve proprietary code; users may want a non-logging OpenAI-compatible route for sensitive prompts",9,,80,"We never log your prompt or the output.",https://trustedrouter.com/security,"Noticed ollama-api-proxy supports OpenRouter models (and other providers) behind an Ollama-compatible proxy for JetBrains AI Assistant.\n\n\"We never log your prompt or the output.\"\n\nContext: https://trustedrouter.com/security",proposed,,,,false,"Propose: GitHub issue/discussion suggesting TrustedRouter as an OpenAI-compatible base_url target for sensitive JetBrains AI prompts",,,,,
